,Tag,Reader,Antenna,rssi
25:05.4,1000C0YL8E000A07Q87,Adpter,3,-65
25:05.4,1000C0YL8E000A07Q89,Adpter,3,-60
25:05.4,11000C0YLE000A07QA6,Adpter,3,-58
25:05.4,10030C0YLE000A07QU4,Adpter,3,-54
25:05.4,1000C0Y7LE000A07Q76,Adpter,3,-59.5
25:05.4,1000C0Y7LE000A07Q78,Adpter,3,-55.5
25:05.4,1000C0YL8E000A07PZ5,Adpter,3,-58.5
25:05.4,10004C0YLE000A07Q46,Adpter,3,-60
25:05.4,10004C0YLE000A07QM6,Adpter,3,-54
25:05.4,10200C0YLE000A07PT1,Adpter,3,-55.5
25:05.4,11000C0YLE000A07Q14,Adpter,3,-50.5
25:05.4,1000C0YLE9000A07Q05,Adpter,3,-57.5
25:05.4,1000C0YL8E000A07PZ8,Adpter,3,-55
25:05.4,1000C0YLE9000A07Q96,Adpter,3,-55.5
25:05.4,10030C0YLE000A07QL6,Adpter,3,-61
25:05.4,1000C0YLE9000A07Q97,Adpter,3,-55.5
25:05.4,1000C50YLE000A07QN1,Adpter,3,-58
25:05.4,1000C50YLE000A07PW2,Adpter,3,-57.5
25:05.4,11000C0YLE000A07QJ6,Adpter,3,-57.5
25:05.4,1000C0Y7LE000A07QP7,Adpter,3,-62
25:05.4,11000C0YLE000A07PS6,Adpter,3,-55
25:05.4,1000C0Y7LE000A07PY2,Adpter,3,-57.5
25:05.4,10030C0YLE000A07QU0,Adpter,3,-63
25:05.4,1000C0YL8E000A07QQ9,Adpter,3,-57.5
25:05.4,1000C0YL8E000A07Q84,Adpter,3,-64
25:05.4,10004C0YLE000A07PV7,Adpter,3,-60.5
25:05.4,11000C0YLE000A07PS7,Adpter,3,-55
25:05.4,1000C0Y7LE000A07Q77,Adpter,3,-58.5
25:05.4,1000C0YLE9000A07Q01,Adpter,3,-58
25:05.4,10030C0YLE000A07QC5,Adpter,3,-62
25:05.4,11000C0YLE000A07PS5,Adpter,3,-57
25:05.4,1000C0YLE9000A07Q98,Adpter,3,-66
25:05.4,1000C0Y7LE000A07PY8,Adpter,3,-59.5
25:05.4,10200C0YLE000A07QK7,Adpter,3,-62
25:05.4,1000C50YLE000A07QN0,Adpter,3,-55.5
25:05.4,1000C50YLE000A07PW5,Adpter,3,-60.5
25:05.4,1000C0YL8E000A07PZ6,Adpter,3,-63.5
25:05.4,11000C0YLE000A07QS9,Adpter,3,-61.5
25:05.4,10030C0YLE000A07QL2,Adpter,3,-64
25:05.4,10200C0YLE000A07QB6,Adpter,3,-63.5
25:05.4,10030C0YLE000A07QC6,Adpter,3,-58
25:05.4,10004C0YLE000A07PV1,Adpter,3,-58.5
25:05.5,1000C50YLE000A07QE5,Adpter,3,-63.5
25:05.5,10004C0YLE000A07QD7,Adpter,3,-66.5
25:05.5,1000C0Y7LE000A07QP0,Adpter,3,-64
25:05.5,10200C0YLE000A07QK6,Adpter,3,-63
25:05.5,10200C0YLE000A07QT9,Adpter,3,-59
25:05.5,11000C0YLE000A07QS8,Adpter,3,-64
25:05.5,10004C0YLE000A07PV5,Adpter,3,-59
25:05.5,10200C0YLE000A07QB8,Adpter,3,-49
25:05.5,10004C0YLE000A07PV0,Adpter,3,-49
25:05.5,10030C0YLE000A07QL2,Adpter,3,-65.5
25:05.5,10004C0YLE000A07QM8,Adpter,3,-62
25:05.5,1000C0YLE9000A07Q01,Adpter,3,-60.5
25:05.5,10030C0YLE000A07QC6,Adpter,3,-60
